id;cp;localidad;idProvincia
255;1649;Arroyo Las Bogas;1
256;1649;Arroyo Las Cañas;1
257;1649;Arroyo Las Casas;1
258;2805;Arroyo Las Cruces;1
259;1649;Arroyo Las Naciones;1
260;1649;Arroyo Las Piedras;1
261;2805;Arroyo Las Rosas (Campana - Pdo. Campana);1
262;1625;Arroyo Las Rosas (Escobar - Pdo. Escobar);1
263;1649;Arroyo Las Rosas (Tigre - Pdo. Tigre);1
264;1649;Arroyo Las Viboras;1
265;1649;Arroyo Las Viudas;1
266;1649;Arroyo Lazaro;1
267;1649;Arroyo Leiva;1
268;1649;Arroyo Lima;1
269;1649;Arroyo Los Grillos;1
270;1649;Arroyo Los Lobos (Pdo.San Fernando);1
271;1649;Arroyo Los Negros;1
272;2805;Arroyo Los Tigres;1
273;1649;Arroyo Machado;1
274;1649;Arroyo Malo;1
275;1649;Arroyo Malvinas;1
276;1649;Arroyo Manzano De La Barca;1
277;1649;Arroyo Manzano De Medina;1
278;1649;Arroyo Martinez (Tigre - Pdo. Tigre);1
279;1649;Arroyo Medina;1
280;1649;Arroyo Melindre;1
281;1649;Arroyo Mendez Chico;1
282;1649;Arroyo Mendez Grande;1
283;1649;Arroyo Moran;1
284;1649;Arroyo Morancito;1
285;1649;Arroyo Moras;1
286;1649;Arroyo Naciones;1
287;2800;Arroyo Ñacurutu;1
288;2805;Arroyo Ñacurutu Chico;1
289;1649;Arroyo Naranjito;1
290;1649;Arroyo Naranjo;1
291;1649;Arroyo Naranjo Borches;1
292;1649;Arroyo Negro (Tigre - Pdo. Campana);1
293;2800;Arroyo Negro (Zarate - Pdo. Zarate);1
294;1649;Arroyo Nogal;1
295;1649;Arroyo Nueve De Julio;1
296;1649;Arroyo Paciencia;1
297;1649;Arroyo Pacifico (Capitan);1
298;1649;Arroyo Pacifico (De La Serna);1
299;1649;Arroyo Pacu;1
300;1649;Arroyo Pajal;1
301;1649;Arroyo Pajarito;1
302;1649;Arroyo Pantanosito;1
303;1649;Arroyo Pantanoso;1
304;1649;Arroyo Paraguay;1
305;8111;Arroyo Pareja;1
306;1649;Arroyo Pati;1
307;1649;Arroyo Paycarabi;1
308;1649;Arroyo Paycarabicito;1
309;2805;Arroyo Pesqueria;1
310;1649;Arroyo Pineral;1
311;1649;Arroyo Polvora;1
312;1649;Arroyo Porfiado;1
313;1649;Arroyo Primera Hermana;1
314;1649;Arroyo Rama Negra;1
315;1649;Arroyo Ramallo;1
316;1649;Arroyo Raya;1
317;1649;Arroyo Remancito (Mendez Grande);1
318;1649;Arroyo Remancito (Carabelas);1
319;1649;Arroyo Reyes;1
320;1649;Arroyo Rico;1
321;1649;Arroyo Rinconada;1
322;1649;Arroyo Rodeo;1
323;1649;Arroyo Romancito;1
324;1649;Arroyo Romero;1
325;1649;Arroyo Sabalos;1
326;1649;Arroyo San Salvador;1
327;1649;Arroyo Santa Rosa;1
328;1649;Arroyo Santo Domingo;1
329;1647;Arroyo Sarandi (San Fernando - Pdo. San Fernando);1
330;1649;Arroyo Sarandi (Tigre - Pdo. Tigre);1
331;1649;Arroyo Sauce Lloron;1
332;1649;Arroyo Segunda Hermana;1
333;1649;Arroyo Surubi;1
334;2805;Arroyo Tajiber;1
335;1649;Arroyo Tarariras;1
336;1649;Arroyo Tela;1
337;1649;Arroyo Tiber;1
338;1649;Arroyo Tiburon;1
339;1647;Arroyo Toledito;1
340;1649;Arroyo Toledo (Palmas);1
341;1649;Arroyo Toledo (Parana Mini);1
